,date,open,high,low,close,volume,y2_hat
110,2017-04-21 12:00 AM,1234.93,1252.32,1231.65,1243.61,5023.038520400078,1221.6326947525097
111,2017-04-22 12:00 AM,1243.6,1247.15,1199.0,1233.2,4173.283214720011,1211.1734383097273
112,2017-04-23 12:00 AM,1231.85,1248.99,1223.42,1241.99,2604.721965240014,1219.8744406236694
113,2017-04-24 12:00 AM,1242.0,1254.0,1234.0,1253.58,3048.688900030087,1231.4405790179549
114,2017-04-25 12:00 AM,1253.57,1280.0,1251.07,1269.0,5249.773533180019,1247.2867501117896
115,2017-04-26 12:00 AM,1271.4,1330.0,1265.0,1287.99,8707.639042450015,1267.2341519085899
116,2017-04-27 12:00 AM,1287.92,1342.02,1285.0,1331.53,6669.987468320063,1311.069751583715
117,2017-04-28 12:00 AM,1331.0,1347.02,1299.0,1330.7,8234.275543700034,1310.0246782493418
118,2017-04-29 12:00 AM,1333.93,1342.8,1316.0,1333.0,3927.4506148200494,1312.220115864493
119,2017-04-30 12:00 AM,1336.77,1356.0,1315.68,1350.21,3536.175811100005,1332.1483460447805
120,2017-05-01 12:00 AM,1348.88,1425.0,1341.22,1390.86,8604.414932070029,1368.295447270646
121,2017-05-02 12:00 AM,1390.86,1481.73,1388.0,1447.75,8920.689857930045,1425.6799051995201
122,2017-05-03 12:00 AM,1447.75,1516.04,1431.02,1503.22,11077.589487200108,1481.7030848748539
123,2017-05-04 12:00 AM,1503.25,1623.01,1444.94,1537.23,19548.52973672993,1516.564490095844
124,2017-05-05 12:00 AM,1537.36,1609.0,1495.0,1514.9,15603.684366160207,1493.6929277264921
125,2017-05-06 12:00 AM,1515.39,1578.97,1505.0,1558.02,7901.142840100033,1536.7706062299583
126,2017-05-07 12:00 AM,1554.04,1565.0,1525.0,1554.01,7667.785851130049,1533.3513765342736
127,2017-05-08 12:00 AM,1554.38,1653.97,1554.38,1649.54,19262.353526250008,1629.9025624396509
128,2017-05-09 12:00 AM,1649.55,1760.4,1616.05,1720.28,16807.733232270068,1702.0339864365617
129,2017-05-10 12:00 AM,1720.26,1794.21,1682.0,1772.58,11265.378638290094,1754.7850355459636
130,2017-05-11 12:00 AM,1774.52,1892.0,1745.01,1828.45,14740.219326380142,1811.4278451338914
131,2017-05-12 12:00 AM,1830.85,1832.0,1650.0,1691.51,17062.844627729926,1673.4039892529809
132,2017-05-13 12:00 AM,1690.33,1785.82,1601.46,1776.89,10532.234513430089,1759.5195556686535
133,2017-05-14 12:00 AM,1776.8,1815.0,1753.0,1784.0,4816.732088150014,1766.7185696789584
134,2017-05-15 12:00 AM,1782.3,1784.0,1682.56,1705.48,13316.802178140571,1688.189692918432
135,2017-05-16 12:00 AM,1706.07,1750.0,1641.22,1700.01,16554.08858020012,1682.2268777471604
136,2017-05-17 12:00 AM,1700.01,1840.42,1670.01,1782.99,17797.318524120124,1765.5900157588626
137,2017-05-18 12:00 AM,1779.0,1881.8,1766.33,1878.99,11916.12339070016,1862.0815542535213
138,2017-05-19 12:00 AM,1879.0,1969.99,1874.99,1958.0,14124.618314950183,1942.5468100010362
139,2017-05-20 12:00 AM,1959.09,2021.0,1914.0,2013.99,12309.9474735401,1999.348274849272
140,2017-05-21 12:00 AM,2013.99,2063.11,1961.52,2017.55,6755.834368550031,2007.2000015676201
141,2017-05-22 12:00 AM,2017.55,2230.34,2001.0,2099.97,16338.535406350205,2098.109670084675
142,2017-05-23 12:00 AM,2088.76,2275.0,2088.45,2264.23,14138.919668350112,2263.519804208441
143,2017-05-24 12:00 AM,2265.9,2481.75,2264.64,2420.29,22144.59820110022,2423.0066107797957
144,2017-05-25 12:00 AM,2420.29,2760.1,2221.0,2292.53,32964.76142590955,2299.846670725025
145,2017-05-26 12:00 AM,2277.01,2599.12,2060.0,2279.82,28326.82201442996,2281.600472995014
146,2017-05-27 12:00 AM,2280.7,2339.94,1850.0,2042.0,26216.275126899014,2036.3422633713135
147,2017-05-28 12:00 AM,2042.89,2313.96,2041.48,2178.81,15375.218126110025,2167.8138883585075
148,2017-05-29 12:00 AM,2172.54,2350.0,2110.0,2292.1,12129.278085880162,2281.362742349909
149,2017-05-30 12:00 AM,2290.18,2339.08,2160.0,2203.51,13888.850972989958,2192.58518143963
150,2017-05-31 12:00 AM,2201.7,2334.0,2154.28,2298.01,16279.2924315001,2287.740920125288
151,2017-06-01 12:00 AM,2298.01,2456.39,2296.81,2413.63,18401.663601249347,2408.0709657216194
152,2017-06-02 12:00 AM,2413.58,2489.0,2370.03,2488.94,12428.700594290256,2483.3115932983987
153,2017-06-03 12:00 AM,2488.94,2584.34,2445.0,2540.94,10810.584689250076,2535.045440888412
154,2017-06-04 12:00 AM,2538.1,2569.0,2460.0,2530.27,8828.624942810084,2523.0377570429746
155,2017-06-05 12:00 AM,2530.27,2699.35,2525.28,2698.0,12221.444806000176,2694.4980188973223
156,2017-06-06 12:00 AM,2698.0,2933.0,2689.4,2880.74,26695.670817580245,2883.006031521724
157,2017-06-07 12:00 AM,2875.71,2893.28,2612.5,2683.03,16967.04353572093,2682.320817696112
158,2017-06-08 12:00 AM,2680.24,2815.0,2613.13,2806.0,13251.405449110192,2803.7828108151202
159,2017-06-09 12:00 AM,2805.46,2868.23,2780.43,2822.32,8036.313569410143,2818.9846602059547
160,2017-06-10 12:00 AM,2818.0,2912.98,2800.0,2899.99,9593.36119146004,2897.1327542043286
161,2017-06-11 12:00 AM,2899.01,2967.46,2861.53,2954.22,6830.606839810013,2953.7070726457964
162,2017-06-12 12:00 AM,2954.23,2980.0,2480.03,2667.06,31534.946055500277,2669.136918956911
163,2017-06-13 12:00 AM,2656.97,2783.62,2638.62,2703.02,16275.83441252057,2702.1808885787314
164,2017-06-14 12:00 AM,2705.99,2801.0,2320.0,2450.0,29478.820283929144,2446.4794090360565
165,2017-06-15 12:00 AM,2451.42,2516.2,2120.0,2424.91,36751.09130816933,2423.778068656142
166,2017-06-16 12:00 AM,2424.96,2540.0,2307.66,2484.68,13802.393299830283,2481.752118944561
167,2017-06-17 12:00 AM,2484.68,2674.4,2420.53,2630.0,11142.985185560095,2624.4438862263437
168,2017-06-18 12:00 AM,2630.06,2665.0,2460.62,2516.98,9424.231180559878,2508.3351493527443
169,2017-06-19 12:00 AM,2516.98,2598.0,2480.96,2598.0,10570.672525000016,2590.684584894005
170,2017-06-20 12:00 AM,2598.0,2783.0,2581.0,2740.0,15891.699488170345,2734.8370844062206
171,2017-06-21 12:00 AM,2734.03,2789.0,2611.0,2657.04,15676.32352625031,2651.8729985364307
172,2017-06-22 12:00 AM,2658.67,2740.0,2594.61,2713.48,10792.787646410348,2707.8813000546293
173,2017-06-23 12:00 AM,2713.48,2745.0,2657.46,2685.05,8232.480649250076,2678.1106943166515
174,2017-06-24 12:00 AM,2685.05,2724.96,2512.13,2557.66,13342.817855840096,2549.3489980490526
175,2017-06-25 12:00 AM,2557.66,2635.72,2432.0,2502.03,10339.57437415022,2493.26093302668
176,2017-06-26 12:00 AM,2502.26,2550.03,2315.01,2421.22,22094.211510710295,2413.337586777314
177,2017-06-27 12:00 AM,2421.21,2565.0,2291.0,2565.0,19129.596507560174,2558.858330077608
178,2017-06-28 12:00 AM,2565.0,2593.0,2468.01,2559.9,12274.54530348017,2552.8281599270917
179,2017-06-29 12:00 AM,2550.99,2594.78,2500.31,2541.59,8125.377637250002,2533.8132876009686
180,2017-06-30 12:00 AM,2538.41,2564.58,2451.0,2465.49,8715.716761560076,2455.9748367972843
181,2017-07-01 12:00 AM,2465.48,2517.11,2390.0,2412.41,8885.893496550114,2403.4541072846737
182,2017-07-02 12:00 AM,2421.3,2528.72,2374.34,2504.37,8744.534411270186,2495.092890894767
183,2017-07-03 12:00 AM,2504.81,2595.0,2472.68,2550.47,11520.707308010149,2541.9877010142354
184,2017-07-04 12:00 AM,2540.07,2639.47,2540.07,2596.12,9662.759414450142,2587.6780536376723
185,2017-07-05 12:00 AM,2594.52,2623.0,2530.1,2602.9,10882.839010710126,2594.846925955571
186,2017-07-06 12:00 AM,2598.37,2614.0,2522.0,2600.39,8333.980949070054,2592.7326876825123
187,2017-07-07 12:00 AM,2599.01,2605.0,2475.0,2501.46,9430.615457800217,2492.241213722082
188,2017-07-08 12:00 AM,2501.46,2555.0,2462.0,2550.07,5405.890886909981,2541.085138901768
189,2017-07-09 12:00 AM,2550.13,2564.65,2500.5,2502.28,4483.144133630023,2493.277088431291
190,2017-07-10 12:00 AM,2504.0,2527.88,2261.85,2323.45,17296.34045274002,2314.5175809989173
